gene_id	symbol	min_over_methods_mean_log2cpm	rank
ENSG00000116350	SRSF4	7.0653	580
ENSG00000163466	ARPC2	7.065	581
ENSG00000093009	CDC45	7.0635	582
ENSG00000122565	CBX3	7.0569	583
ENSG00000166598	HSP90B1	7.0569	584
ENSG00000066044	ELAVL1	7.0558	585
ENSG00000105993	DNAJB6	7.0533	586
ENSG00000169180	XPO6	7.0531	587
ENSG00000117984	CTSD	7.0523	588
ENSG00000100028	SNRPD3	7.0518	589
ENSG00000128245	YWHAH	7.0512	590
ENSG00000130396	AFDN	7.0504	591
ENSG00000013810	TACC3	7.0486	592
ENSG00000159346	ADIPOR1	7.0437	593
ENSG00000141027	NCOR1	7.0432	594
ENSG00000138073	PREB	7.0426	595
ENSG00000099977	DDT	7.0408	596
ENSG00000164405	UQCRQ	7.0384	597
ENSG00000158710	TAGLN2	7.0363	598
ENSG00000104889	RNASEH2A	7.0351	599
ENSG00000182872	RBM10	7.0346	600
ENSG00000103275	UBE2I	7.0342	601
ENSG00000073578	SDHA	7.0342	602
ENSG00000173933	RBM4	7.0342	603
ENSG00000108639	SYNGR2	7.0341	604
ENSG00000188612	SUMO2	7.0334	605
ENSG00000167770	OTUB1	7.0324	606
ENSG00000196497	IPO4	7.0318	607
ENSG00000133612	AGAP3	7.0301	608
ENSG00000049541	RFC2	7.0298	609
ENSG00000159023	EPB41	7.0295	610
ENSG00000133142	TCEAL4	7.0287	611
ENSG00000159377	PSMB4	7.0244	612
ENSG00000173812	EIF1	7.0204	613
ENSG00000169976	SF3B5	7.0179	614
ENSG00000123064	DDX54	7.0177	615
ENSG00000124422	USP22	7.0174	616
ENSG00000176087	SLC35A4	7.0174	617
ENSG00000065548	ZC3H15	7.0143	618
ENSG00000008018	PSMB1	7.0113	619
ENSG00000100297	MCM5	7.0111	620
ENSG00000179918	SEPHS2	7.0109	621
ENSG00000141959	PFKL	7.0108	622
ENSG00000175768	TOMM5	7.0104	623
ENSG00000100220	RTCB	7.0101	624
ENSG00000165671	NSD1	7.0085	625
ENSG00000132002	DNAJB1	7.0078	626
ENSG00000137309	HMGA1	7.0074	627
ENSG00000085662	AKR1B1	7.0073	628
ENSG00000146963	LUC7L2	7.0071	629
ENSG00000100348	TXN2	7.0066	630
ENSG00000089737	DDX24	7.0052	631
ENSG00000061936	SFSWAP	7.003	632
ENSG00000071859	FAM50A	7.0022	633
ENSG00000137692	DCUN1D5	6.9995	634
ENSG00000140905	GCSH	6.9989	635
ENSG00000108528	SLC25A11	6.9988	636
ENSG00000124228	DDX27	6.998	637
ENSG00000123349	PFDN5	6.9967	638
