rank	gene_id	symbol	mean_expr	var_log2expr
520	ENSG00000105767	CADM4	9.641	3.1155
521	ENSG00000107890	ANKRD26	43.599	3.1135
522	ENSG00000250151	ARPC4-TTLL3	4.629	3.1118
523	ENSG00000291316	TMEM276-ZFTRAF1	6.386	3.1079
524	ENSG00000135447	PPP1R1A	11.867	3.1076
525	ENSG00000225528	TMA7B	6.298	3.104
526	ENSG00000125746	EML2	25.479	3.1023
527	ENSG00000260691	ANKRD20A1	4.766	3.1016
528	ENSG00000166004	CEP295	31.818	3.0997
529	ENSG00000241697	TMEFF1	5.858	3.0987
530	ENSG00000198417	MT1F	5.884	3.0967
531	ENSG00000146757	ZNF92	11.384	3.0943
532	ENSG00000135317	SNX14	11.709	3.0913
533	ENSG00000136167	LCP1	9.019	3.091
534	ENSG00000077147	TM9SF3	83.115	3.0905
535	ENSG00000126457	PRMT1	411.017	3.0886
536	ENSG00000125744	RTN2	13.712	3.0878
537	ENSG00000197467	COL13A1	8.416	3.0868
538	ENSG00000118855	MFSD1	31.84	3.0841
539	ENSG00000260456	C16orf95	27.953	3.083
540	ENSG00000198681	MAGEA1	4.883	3.0766
541	ENSG00000100479	POLE2	24.311	3.0763
542	ENSG00000097046	CDC7	50.265	3.075
543	ENSG00000198930	CSAG1	4.258	3.075
544	ENSG00000132881	CPLANE2	7.379	3.0746
545	ENSG00000038427	VCAN	39.14	3.0742
546	ENSG00000146215	CRIP3	5.148	3.0733
547	ENSG00000143156	NME7	25.815	3.073
