metric	column	sample_index_in_column	value
genes at 250k filtered reads (no ribosomal-protein genes)	Ris dose 500mM	3	8701
genes at 250k filtered reads (no ribosomal-protein genes)	RAW 264.7	1	9105
genes at 250k filtered reads (no ribosomal-protein genes)	RAW 264.7	2	9213
genes at 250k filtered reads (no ribosomal-protein genes)	RAW 264.7	3	9041
rRNA content (% of mapped)	DRUG-seq	1	0.293332
rRNA content (% of mapped)	DRUG-seq	2	0.281206
rRNA content (% of mapped)	DRUG-seq	3	0.325103
rRNA content (% of mapped)	DRUG-seq	4	0.278545
rRNA content (% of mapped)	DRUG-seq	5	0.259089
rRNA content (% of mapped)	DRUG-seq	6	0.304277
rRNA content (% of mapped)	DRUG-seq	7	0.27672
rRNA content (% of mapped)	DRUG-seq	8	0.308966
rRNA content (% of mapped)	DRUG-seq	9	0.299289
rRNA content (% of mapped)	DRUG-seq	10	0.291563
rRNA content (% of mapped)	DRUG-seq	11	0.304191
rRNA content (% of mapped)	DRUG-seq	12	0.332558
rRNA content (% of mapped)	DRUG-seq	13	0.266489
rRNA content (% of mapped)	DRUG-seq	14	0.298249
rRNA content (% of mapped)	DRUG-seq	15	0.291643
rRNA content (% of mapped)	DRUG-seq	16	0.257922
rRNA content (% of mapped)	DRUG-seq	17	0.259728
rRNA content (% of mapped)	DRUG-seq	18	0.259742
rRNA content (% of mapped)	DRUG-seq	19	0.277063
rRNA content (% of mapped)	DRUG-seq	20	0.279892
rRNA content (% of mapped)	DRUG-seq	21	0.277142
rRNA content (% of mapped)	DRUG-seq	22	0.27424
rRNA content (% of mapped)	DRUG-seq	23	0.243974
rRNA content (% of mapped)	DRUG-seq	24	0.260228
rRNA content (% of mapped)	prime-seq	1	2.09169
rRNA content (% of mapped)	prime-seq	2	2.41951
rRNA content (% of mapped)	prime-seq	3	1.76998
rRNA content (% of mapped)	prime-seq	4	1.97711
rRNA content (% of mapped)	prime-seq	5	2.26246
rRNA content (% of mapped)	prime-seq	6	2.39931
rRNA content (% of mapped)	prime-seq	7	1.10145
rRNA content (% of mapped)	prime-seq	8	2.42885
rRNA content (% of mapped)	Hek control	1	20.28
